q_delay,q_depth,sending_rate,data_sent,interarrival_time,CCA
0.318302,26,3.2994521885339263,0.060832,0.018437,cubic
0.326357,27,2.4852273238296423,0.05526399999999976,0.022237,cubic
0.29839,24,0.8854540436102952,0.012832000000000399,0.040027,cubic
0.270504,22,2.0439630455559024,0.012831999999999955,0.039967,cubic
0.226509,18,0.8939668385119098,0.012831999999999955,0.056014,cubic
0.178615,14,7.514463981849079,0.013247999999999927,0.059956,cubic
0.134285,11,0.5659328137107427,0.012415999999999983,0.056428,cubic
0.098752,8,1.3429618001046526,0.012831999999999955,0.047664,cubic
0.05008,4,0.2685411484805879,0.012415999999999983,0.060765,cubic
0.000399,0,0.1892684773351,0.01200000000000001,0.063402,cubic
0.000366,0,0.2732489297750253,0.01200000000000001,0.043916,cubic
0.000823,0,0.26862464183381113,0.01200000000000001,0.044672,cubic
0.000523,0,0.23426976163051777,0.01200000000000001,0.051223,cubic
0.000466,0,0.24893166825706367,0.01200000000000001,0.048206,cubic
0.000443,0,0.25118790948862346,0.01200000000000001,0.047773,cubic
0.000378,0,0.24904015772543345,0.01200000000000001,0.048185,cubic
0.000484,0,0.27218290691344604,0.01200000000000001,0.044088,cubic
0.000556,0,0.21507688998817096,0.01200000000000001,0.055794,cubic
0.000652,0,0.21119324181626206,0.01200000000000001,0.05682,cubic
0.000487,0,0.27770063871146927,0.01200000000000001,0.043212,cubic
0.00046,0,0.30043563166591586,0.01200000000000001,0.039942,cubic
0.000461,0,0.2707886720072213,0.01200000000000001,0.044315,cubic
0.000372,0,0.27328626736506517,0.01200000000000001,0.04391,cubic
0.000591,0,0.3013712391380785,0.01200000000000001,0.039818,cubic
0.000711,0,0.2500989975198518,0.01200000000000001,0.047981,cubic
0.000556,0,0.23092910476483738,0.01200000000000001,0.051964,cubic
0.000458,0,0.23006134969325176,0.01200000000000001,0.05216,cubic
0.000454,0,0.24944913316426245,0.01200000000000001,0.048106,cubic
0.147491,12,29.218290515430546,0.18083199999999966,0.006189,cubic
0.208007,17,19.13189113747383,0.10966399999999998,0.005732,cubic
0.264125,21,151.62534435261765,0.1100800000000004,0.009912,cubic
0.333009,27,69.85166240409208,0.10924800000000001,0.001564,cubic
0.325005,26,2.0639053254437862,0.048831999999999987,0.02366,cubic
0.344959,28,5.485361302361467,0.08524799999999955,0.015541,cubic
0.353614,29,8.397570403092276,0.06083200000000044,0.007244,cubic
0.349842,29,2.6592061549221695,0.06083199999999955,0.022876,cubic
0.353956,29,3.2789995687796702,0.06083200000000044,0.018552,cubic
0.382479,31,3.2272692688122793,0.08483199999999957,0.026286,cubic
